evidenceLabel,timestamp,asset,action,direction,priceType,price,entryPrice,markPrice,quantity,pnl,accountBalanceChange,accountBalanceBefore,accountBalanceAfter,naiveAction,naiveDirection,naivePnl,naiveReturnPct,source,rationale
SIMULATED/PAPER_STOCK,2026-05-14T13:30:00.000Z,AAPLUSDT,FADE,long,entry,297.71,297.71,298.47,3.359,1.5,1.5,1000,1001.5,FADE,long,1.5,0.15,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"Small -0.48% gap driven by unconfirmed AI partnership rumors alongside strong iPhone demand headlines; likely sentiment noise rather than fundamental repricing, favoring fade at open."
SIMULATED/PAPER_STOCK,2026-05-18T13:30:00.000Z,AAPLUSDT,FADE,long,entry,298.33,298.33,298.09,3.357,-1.86,-1.86,1001.5,999.64,FADE,long,-1.87,-0.186,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"News is mixed-to-bullish (Viking $1B stake, WWDC dates) with standard regulatory/pricing noise; -0.70% discount lacks fundamental catalyst and reflects typical off-hours token liquidity/sentiment drift."
SIMULATED/PAPER_STOCK,2026-05-19T13:30:00.000Z,AAPLUSDT,FADE,short,entry,299.33,299.33,299.23,3.3396,-0.72,-0.72,999.64,998.92,FADE,short,-0.72,-0.072,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"0.42% premium driven by routine product announcements, app store updates, and analyst predictions rather than fundamental earnings or macro catalysts; typical retail sentiment noise that usually converges at the open."
SIMULATED/PAPER_STOCK,2026-05-22T13:30:00.000Z,AAPLUSDT,FADE,short,entry,308.9,308.9,308.99,3.2338,-1.35,-1.35,998.92,997.57,FADE,short,-1.35,-0.135,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"Headlines are speculative/long-term (SCOTUS case, M&A rumors, spatial computing PR) with no immediate fundamental catalyst; 1.28% premium likely reflects off-hours sentiment/liquidity and should revert at open."
SIMULATED/PAPER_STOCK,2026-05-26T13:30:00.000Z,AAPLUSDT,FADE,short,entry,310.85,310.85,308.33,3.2092,7.03,7.03,997.57,1004.6,FADE,short,7.03,0.705,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"0.60% premium driven by soft, thematic headlines (AI, iPhone sales) with no material overnight catalysts; typical sentiment-driven noise likely to revert as institutional order flow sets the open."
SIMULATED/PAPER_STOCK,2026-05-27T13:30:00.000Z,AAPLUSDT,STAND_ASIDE,flat,entry,312.2,312.2,311.29,0,0,0,1004.6,1004.6,FADE,short,1.87,0.186,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"Gap reflects justified repricing from concrete catalysts (China shipment recovery, AI platform integration, BofA target reset) rather than transient sentiment."
SIMULATED/PAPER_STOCK,2026-06-01T13:30:00.000Z,AAPLUSDT,FADE,long,entry,310.27,310.27,306.55,3.2378,-13.11,-13.11,1004.6,991.49,FADE,long,-13.13,-1.305,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,Competitive laptop/AI chip news and mixed analyst views typically drive short-term sentiment rather than fundamental repricing; the -0.67% overnight dip likely reflects liquidity/sentiment noise that should revert at the open.
SIMULATED/PAPER_STOCK,2026-06-02T13:30:00.000Z,AAPLUSDT,FADE,short,entry,309.43,309.43,315.36,3.2042,-20.05,-20.05,991.49,971.44,FADE,short,-20.09,-2.022,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,Modest 0.94% premium driven by WWDC/AI catalyst speculation and analyst upgrades rather than fundamental overnight shocks. Typical off-hours sentiment drift likely to normalize at open when institutional liquidity returns.
SIMULATED/PAPER_STOCK,2026-06-04T13:30:00.000Z,AAPLUSDT,FADE,short,entry,312.49,312.49,311.59,3.1087,1.77,1.77,971.44,973.21,FADE,short,1.78,0.182,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"0.63% premium driven by routine/backward-looking headlines and minor congressional trades; no material overnight catalysts to justify sustained repricing, typical low-liquidity overnight sentiment likely to arbitrage away at open."
SIMULATED/PAPER_STOCK,2026-06-05T13:30:00.000Z,AAPLUSDT,FADE,short,entry,313.67,313.67,307.61,3.1027,17.77,17.77,973.21,990.98,FADE,short,17.8,1.826,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,Modest 0.67% premium driven by pre-WWDC AI hype and analyst speculation rather than concrete fundamentals; typical sentiment-driven drift likely to normalize at open liquidity.
SIMULATED/PAPER_STOCK,2026-06-08T13:30:00.000Z,AAPLUSDT,FADE,short,entry,311.14,311.14,301.62,3.185,29.27,29.27,990.98,1020.25,FADE,short,29.33,2.954,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"WWDC software/AI announcements are scheduled and historically produce muted cash-market reactions; the 1.15% premium likely reflects crypto/retail sentiment rather than fundamental repricing, making it highly fadeable at the open."
SIMULATED/PAPER_STOCK,2026-06-09T13:30:00.000Z,AAPLUSDT,STAND_ASIDE,flat,entry,296.3,296.3,290.78,0,0,0,1020.25,1020.25,FADE,long,-20.12,-1.969,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"Gap reflects material EU regulatory delay for AI rollout and post-WWDC monetization concerns, indicating justified fundamental repricing rather than transient sentiment noise."
SIMULATED/PAPER_STOCK,2026-06-12T13:30:00.000Z,AAPLUSDT,FADE,long,entry,291.3,291.3,291.27,3.5024,-1.18,-1.18,1020.25,1019.07,FADE,long,-1.16,-0.116,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,Modest -1.46% drop aligns with typical post-WWDC 'sell-the-news' sentiment rather than fundamental deterioration; mixed/positive headlines and absence of material negative catalysts indicate liquidity-driven overnight noise likely to revert at open.
SIMULATED/PAPER_STOCK,2026-06-15T13:30:00.000Z,AAPLUSDT,FADE,short,entry,295.46,295.46,296.51,3.4491,-4.7,-4.7,1019.07,1014.37,FADE,short,-4.62,-0.461,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"Overnight headlines are mixed and lack hard fundamental catalysts; the 1.44% premium likely reflects retail sentiment/liquidity noise rather than justified repricing, favoring mean reversion at the open."
SIMULATED/PAPER_STOCK,2026-06-18T13:30:00.000Z,AAPLUSDT,FADE,short,entry,298.3,298.3,298.04,3.4005,-0.19,-0.19,1014.37,1014.18,FADE,short,-0.18,-0.019,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,Mixed analyst reiterations and cost-inflation headlines lack a material fundamental catalyst to justify a 0.76% premium. The markup reflects typical overnight sentiment noise and should revert as institutional liquidity and spot pricing return at the open.
SIMULATED/PAPER_STOCK,2026-04-01T13:30:00.000Z,NVDAUSDT,FADE,short,entry,175.84,175.84,175.73,5.687,-0.43,-0.43,1000,999.57,FADE,short,-0.43,-0.043,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-02T13:30:00.000Z,NVDAUSDT,FADE,long,entry,174.03,174.03,177.25,5.7437,17.44,17.44,999.57,1017.01,FADE,long,17.44,1.745,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-07T13:30:00.000Z,NVDAUSDT,FADE,long,entry,175.33,175.33,178.12,5.8005,15.11,15.11,1017.01,1032.12,FADE,long,15.11,1.486,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-08T13:30:00.000Z,NVDAUSDT,FADE,short,entry,182.72,182.72,182.23,5.6486,1.68,1.68,1032.12,1033.8,FADE,short,1.67,0.163,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-09T13:30:00.000Z,NVDAUSDT,FADE,long,entry,181.43,181.43,183.78,5.6981,12.3,12.3,1033.8,1046.1,FADE,long,12.3,1.19,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-10T13:30:00.000Z,NVDAUSDT,FADE,short,entry,187.13,187.13,188.68,5.5902,-9.77,-9.77,1046.1,1036.33,FADE,short,-9.77,-0.934,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-14T13:30:00.000Z,NVDAUSDT,FADE,short,entry,192.13,192.13,196.31,5.3939,-23.64,-23.64,1036.33,1012.69,FADE,short,-23.64,-2.281,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-15T13:30:00.000Z,NVDAUSDT,FADE,short,entry,198.49,198.49,198.7,5.102,-2.14,-2.14,1012.69,1010.55,FADE,short,-2.14,-0.211,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-16T13:30:00.000Z,NVDAUSDT,FADE,long,entry,196.65,196.65,198.12,5.1388,6.49,6.49,1010.55,1017.04,FADE,long,6.49,0.642,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-17T13:30:00.000Z,NVDAUSDT,FADE,short,entry,201.1,201.1,201.72,5.0574,-4.21,-4.21,1017.04,1012.83,FADE,short,-4.21,-0.414,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-20T13:30:00.000Z,NVDAUSDT,FADE,long,entry,200.14,200.14,202.04,5.0606,8.55,8.55,1012.83,1021.38,FADE,long,8.54,0.844,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-24T13:30:00.000Z,NVDAUSDT,FADE,short,entry,202.06,202.06,208.3,5.0548,-32.62,-32.62,1021.38,988.76,FADE,short,-32.62,-3.194,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-27T13:30:00.000Z,NVDAUSDT,FADE,short,entry,210.43,210.43,216.76,4.6988,-30.79,-30.79,988.76,957.97,FADE,short,-30.79,-3.114,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-28T13:30:00.000Z,NVDAUSDT,FADE,long,entry,212.37,212.37,213.4,4.5109,3.63,3.63,957.97,961.6,FADE,long,3.64,0.379,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-29T13:30:00.000Z,NVDAUSDT,FADE,long,entry,211.07,211.07,209.56,4.5558,-7.89,-7.89,961.6,953.71,FADE,long,-7.9,-0.821,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-04-30T13:30:00.000Z,NVDAUSDT,FADE,long,entry,204.19,204.19,199.89,4.6707,-21.1,-21.1,953.71,932.61,FADE,long,-21.09,-2.212,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-05-01T13:30:00.000Z,NVDAUSDT,FADE,short,entry,200.84,200.84,198.71,4.6435,8.91,8.91,932.61,941.52,FADE,short,8.9,0.955,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-05-06T13:30:00.000Z,NVDAUSDT,FADE,short,entry,204.68,204.68,207.91,4.6,-15.86,-15.86,941.52,925.66,FADE,short,-15.85,-1.684,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-05-07T13:30:00.000Z,NVDAUSDT,FADE,short,entry,209.04,209.04,211.87,4.4281,-13.51,-13.51,925.66,912.15,FADE,short,-13.51,-1.459,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-05-08T13:30:00.000Z,NVDAUSDT,FADE,short,entry,217.86,217.86,215.26,4.1869,9.92,9.92,912.15,922.07,FADE,short,9.92,1.088,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-05-11T13:30:00.000Z,NVDAUSDT,FADE,short,entry,217.17,217.17,219.66,4.2458,-11.54,-11.54,922.07,910.53,FADE,short,-11.54,-1.252,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-05-13T13:30:00.000Z,NVDAUSDT,FADE,short,entry,224.32,224.32,225.98,4.0591,-7.7,-7.7,910.53,902.83,FADE,short,-7.7,-0.846,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-05-14T13:30:00.000Z,NVDAUSDT,FADE,short,entry,230.9,230.9,235.86,3.91,-20.35,-20.35,902.83,882.48,FADE,short,-20.35,-2.254,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-05-15T13:30:00.000Z,NVDAUSDT,FADE,long,entry,225.31,225.31,225.29,3.9167,-1.01,-1.01,882.48,881.47,FADE,long,-1.01,-0.115,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-05-19T13:30:00.000Z,NVDAUSDT,FADE,long,entry,221.06,221.06,221.04,3.9875,-1.01,-1.01,881.47,880.46,FADE,long,-1.01,-0.115,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-05-20T13:30:00.000Z,NVDAUSDT,FADE,short,entry,222.28,222.28,223.7,3.961,-6.55,-6.55,880.46,873.91,FADE,short,-6.56,-0.744,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-05-21T13:30:00.000Z,NVDAUSDT,FADE,long,entry,222.61,222.61,219.81,3.9257,-11.91,-11.91,873.91,862,FADE,long,-11.91,-1.363,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-05-22T13:30:00.000Z,NVDAUSDT,FADE,long,entry,218.29,218.29,215.71,3.9489,-11.1,-11.1,862,850.9,FADE,long,-11.1,-1.288,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-05-27T13:30:00.000Z,NVDAUSDT,FADE,long,entry,211.85,211.85,213.05,4.0165,3.92,3.92,850.9,854.82,FADE,long,3.92,0.461,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-05-29T13:30:00.000Z,NVDAUSDT,FADE,short,entry,217.56,217.56,211.62,3.9291,22.44,22.44,854.82,877.26,FADE,short,22.44,2.625,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-06-01T13:30:00.000Z,NVDAUSDT,FADE,short,entry,219.34,219.34,224.67,3.9995,-22.25,-22.25,877.26,855.01,FADE,short,-22.25,-2.536,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-06-02T13:30:00.000Z,NVDAUSDT,FADE,short,entry,231.87,231.87,223.09,3.6875,31.47,31.47,855.01,886.48,FADE,short,31.47,3.681,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-06-03T13:30:00.000Z,NVDAUSDT,FADE,long,entry,217.55,217.55,215.16,4.0748,-10.67,-10.67,886.48,875.81,FADE,long,-10.67,-1.204,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-06-04T13:30:00.000Z,NVDAUSDT,FADE,long,entry,212.56,212.56,218.8,4.1203,24.79,24.79,875.81,900.6,FADE,long,24.78,2.83,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-06-05T13:30:00.000Z,NVDAUSDT,FADE,long,entry,212.12,212.12,205.43,4.2457,-29.36,-29.36,900.6,871.24,FADE,long,-29.35,-3.26,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-06-08T13:30:00.000Z,NVDAUSDT,FADE,short,entry,206.61,206.61,208.89,4.2168,-10.53,-10.53,871.24,860.71,FADE,short,-10.54,-1.209,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-06-10T13:30:00.000Z,NVDAUSDT,FADE,long,entry,205.35,205.35,200.67,4.1914,-20.53,-20.53,860.71,840.18,FADE,long,-20.52,-2.385,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-06-11T13:30:00.000Z,NVDAUSDT,FADE,short,entry,203.06,203.06,205.17,4.1376,-9.62,-9.62,840.18,830.56,FADE,short,-9.62,-1.145,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-06-12T13:30:00.000Z,NVDAUSDT,FADE,long,entry,204.3,204.3,205.37,4.0654,3.47,3.47,830.56,834.03,FADE,long,3.47,0.418,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-06-15T13:30:00.000Z,NVDAUSDT,FADE,short,entry,209.03,209.03,212.64,3.99,-15.29,-15.29,834.03,818.74,FADE,short,-15.28,-1.833,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-06-16T13:30:00.000Z,NVDAUSDT,FADE,long,entry,209.01,209.01,207.77,3.9172,-5.72,-5.72,818.74,813.02,FADE,long,-5.72,-0.699,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-06-18T13:30:00.000Z,NVDAUSDT,FADE,short,entry,208.17,208.17,210.52,3.9056,-10.04,-10.04,813.02,802.98,FADE,short,-10.04,-1.235,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
SIMULATED/PAPER_STOCK,2026-06-22T13:30:00.000Z,NVDAUSDT,FADE,short,entry,213.38,213.38,209.72,3.7631,12.93,12.93,802.98,815.91,FADE,short,12.92,1.61,artifacts/rwa-multi-backtest.json baseline; no NVDA Qwen gate cache,No gate veto is available for this simulated stock-paper row.
